שם נושא המפתח,קטגוריית מפת הידע,שם האייקון
מדיניות פיקוח,מדיניות,glasses
סטנדרטים לאיכות השירותים,מדיניות,award
בקרה חיצונית,בקרה,ruler
בקרה עצמית,בקרה,compass
אכיפה מתקנת ואכיפה עונשית,אכיפה,shield-alt
מחקרים,פיתוח ידע והדרכה,copy
חומרי הדרכה,פיתוח ידע והדרכה,paper-plane
ניהול סיכונים,שיטות עבודה,traffic-light
שיתוף מקבלי השירות בפיקוח,שיטות עבודה,user-friends
שקיפות והנגשת מידע,שיטות עבודה,code-branch
פיקוח משולב,שיטות עבודה,link
יחסי מפקחים מפוקחים,שיטות עבודה,hands-helping
רכש חברתי,רכש חברתי,square-up-right
מדינת הרווחה הרגולטורית,מדינת הרווחה הרגולטורית,archway
